chrom,start,end,strand,phyloP,phastCons,lowercase
X,44156685,44156813,+,"[ 2.856  0.437  1.987  1.912  1.925  3.337  0.39  -1.659  2.086  1.517
  0.437  0.337  1.208  1.192  1.253  3.572  1.972  2.856  1.95   1.927
  2.18   1.927 -0.566 -0.195  1.41  -0.07   1.855  0.807  1.568  1.529
  1.974 -0.032  1.225 -0.1    0.104  2.165 -0.074  0.005 -0.258  0.378
  3.042  1.268  1.449  1.457  1.832  0.369  1.833  1.924  1.987  2.122
  0.899  2.856  1.551  1.954  1.565  1.929  0.433  0.489  1.924  2.162
  1.254  1.23   0.863 -1.211  0.225  3.243  1.409  0.723  0.819  0.088
  0.82  -0.043  0.491  0.301 -0.041  0.356  1.525  1.525  1.561  0.851
  0.867  0.125  0.595  1.879  1.95   1.859 -2.08   0.013  0.847  3.525
  0.688  2.785  0.421  2.819 -0.07   0.865  3.525  3.293  1.37   3.293
  2.819  1.532  1.224  1.176  0.854  0.848  3.293  3.525  1.965  0.854
  0.241  0.462  2.134  0.116  0.884  0.409 -0.041  0.701  1.148  0.715
  0.853  0.068  0.696 -1.857  0.183  0.206  0.842  0.598]","[1.    1.    1.    1.    1.    0.987 0.405 0.182 0.971 0.989 0.989 0.99
 0.998 1.    1.    1.    1.    1.    1.    1.    1.    0.97  0.077 0.081
 0.319 0.35  0.92  0.968 0.982 0.979 0.539 0.165 0.141 0.034 0.03  0.041
 0.008 0.005 0.012 0.519 0.984 0.998 1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 0.99  0.947 0.579 0.141 0.266 0.624 0.651 0.613 0.554 0.331 0.313 0.242
 0.236 0.164 0.161 0.202 0.983 0.999 1.    1.    0.997 0.987 0.988 0.991
 0.987 0.913 0.012 0.077 0.813 0.998 0.999 1.    1.    1.    0.995 0.999
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    0.991 0.97  0.967 0.963 0.722 0.679 0.486 0.358 0.349 0.337 0.282
 0.216 0.052 0.038 0.    0.    0.001 0.003 0.003]","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True]"
2,38264697,38264825,+,"[ 0.27   0.643  2.328  2.516  1.504  0.522  2.271 -0.084  0.161 -0.583
  1.74   2.27  -0.288 -0.066  3.175  1.078  0.025  0.027 -0.5    0.521
  0.258  0.039  0.469  0.388  0.275 -0.779 -0.191  0.793  0.954  2.934
  1.563  0.431  0.111  1.016  1.72   3.736  1.027  0.3    2.31   3.757
  1.819  0.071  0.276  0.303  1.55   1.05  -0.238  1.117 -0.1    2.453
  0.298  0.65   0.984  0.018  0.321  0.662  0.298  1.57   1.738 -0.147
  0.95   2.545  1.849  1.824  1.145  1.157 -0.073  1.048  1.132  1.165
  2.573  0.316  4.024  1.552  0.434  1.502  0.621  1.12   0.519  1.651
  1.596  0.641  2.267  0.081  2.359  1.841 -0.307 -0.589  1.114  2.38
  0.272  1.844  1.831  0.489  1.817  1.835  1.835  1.1    0.651  1.139
  3.214  1.869  1.877  0.144  1.494  1.942  1.256  1.96  -0.362 -0.097
  1.868  2.819  0.896  0.151  1.534  0.684  1.392  0.156  0.015  0.858
  1.409  2.819  1.565  0.868  2.853  1.534  0.411 -0.328]","[0.997 1.    1.    1.    0.99  0.923 0.888 0.067 0.027 0.02  0.171 0.17
 0.02  0.019 0.193 0.158 0.021 0.002 0.    0.    0.    0.    0.    0.
 0.    0.    0.009 0.563 0.924 0.994 0.995 0.983 0.985 0.998 1.    1.
 1.    1.    1.    1.    0.978 0.697 0.671 0.674 0.688 0.67  0.347 0.388
 0.393 0.607 0.59  0.598 0.603 0.597 0.631 0.685 0.739 0.904 0.924 0.903
 0.968 1.    1.    1.    1.    1.    0.994 0.998 1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.991
 0.992 0.96  0.143 0.138 0.889 0.989 0.992 1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.995 0.975
 0.68  0.687 0.975 0.998 0.998 0.997 0.998 0.997 0.996 0.976 0.964 1.
 1.    1.    1.    1.    1.    0.99  0.91  0.799]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
8,83751265,83751393,+,"[-0.008  1.021  0.041 -1.033  1.088 -0.803 -3.157  0.347  0.206  0.226
  0.049  2.687  0.745  1.421  1.051  3.125  1.785  1.118 -0.134 -0.087
  1.059  1.789  0.074  1.668 -0.417  0.007  1.237  1.972 -0.169  2.687
  1.191  0.025  0.25   0.291  1.79   0.333  0.388 -0.191 -0.709  1.38
  0.129  1.669  0.635  1.357  0.352  0.325  1.428  0.759  1.084  1.8
  1.285  2.656  1.595  1.014  0.976  1.002  2.688  1.8    0.314  0.296
 -0.146 -0.14   0.303 -0.098  0.78   0.376 -0.176 -2.475  3.121  1.687
  3.127  0.319  1.735  0.354 -1.243  0.991 -0.12   0.763  1.22   0.088
  0.088  0.362  1.8    3.127  0.569  0.647  3.02   1.578  1.726  0.24
  1.27   1.027  0.517  2.367  0.396 -0.504 -0.15   0.692 -0.016 -0.042
  0.3   -0.334 -0.225  0.032  1.584  0.221  1.077  0.542  1.035  0.995
 -0.051  1.401  0.711  1.799  1.011  1.252  1.178  0.712  0.368  0.777
 -0.328  1.354 -0.088  0.499  1.404  0.352  1.048 -0.195]","[0.002 0.002 0.    0.    0.001 0.    0.    0.16  0.165 0.2   0.34  0.977
 0.994 1.    1.    1.    0.99  0.89  0.533 0.51  0.546 0.554 0.506 0.504
 0.425 0.493 0.815 0.846 0.817 0.842 0.49  0.158 0.113 0.102 0.104 0.063
 0.036 0.01  0.011 0.623 0.68  0.933 0.961 0.987 0.989 0.994 1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    0.999 0.962 0.556 0.219
 0.011 0.001 0.001 0.    0.002 0.001 0.    0.    0.969 0.995 0.998 0.837
 0.791 0.321 0.029 0.048 0.053 0.314 0.394 0.397 0.441 0.674 0.972 0.998
 0.998 0.999 1.    1.    1.    0.996 0.997 0.992 0.95  0.925 0.342 0.006
 0.001 0.001 0.    0.    0.    0.    0.002 0.066 0.506 0.56  0.8   0.838
 0.883 0.897 0.899 0.988 0.996 0.999 0.999 0.997 0.986 0.904 0.784 0.551
 0.163 0.163 0.107 0.114 0.12  0.089 0.071 0.012]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
X,44173581,44173709,+,"[ 3.267  3.227  1.855  3.818  2.355  3.23   3.227  0.708  2.629  1.58
  1.193  3.267  2.408  2.629  1.209  1.1    1.895  1.243  2.276  2.409
  1.7    1.926  3.267  3.202  1.038  1.163  1.802  1.172  0.083  1.686
  3.818  2.526  1.141  0.352  0.707  0.19   1.802  2.41   1.213  0.924
  1.502  2.629  4.089  4.089  1.855  1.867  2.296  0.339  0.37   4.089
  1.058  0.217  3.227  2.264  2.404  1.921  0.084  0.604  0.676  3.818
  0.767  2.526  1.06   2.357 -0.073  1.569  4.089  0.334  1.182  2.111
  4.089  1.471  1.096  3.189  2.538  1.494  2.372  1.79   0.654 -0.336
  0.432  1.698  0.086  0.679  0.096  1.212  1.877  0.363 -0.565  0.539
  0.729 -0.744 -0.921  0.401 -0.526 -0.007  2.332  0.05   2.647  0.107
  1.213  1.818  0.676  0.694  1.559  1.414  3.365  0.872  1.556  1.559
  0.091  0.171  0.494  0.043 -1.732  0.457  3.703  1.695  1.765  0.076
  0.303 -0.198  0.61  -0.145 -0.657  2.444  1.    -0.033]","[1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.998 1.    1.    1.    1.    0.999 0.999 0.998
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.999
 0.999 1.    1.    0.998 1.    1.    1.    1.    0.996 0.997 0.999 1.
 1.    1.    1.    1.    0.989 0.999 1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    0.983 0.772 0.601 0.618 0.644 0.598 0.595
 0.587 0.607 0.588 0.253 0.003 0.003 0.003 0.    0.    0.    0.    0.103
 0.708 0.715 0.94  0.935 0.997 1.    1.    1.    1.    1.    1.    0.997
 0.992 0.942 0.196 0.07  0.042 0.004 0.    0.327 0.949 0.955 0.923 0.146
 0.014 0.    0.001 0.    0.    0.227 0.2   0.027]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
10,78956909,78957037,+,"[3.067 3.03  2.17  0.031 1.032 3.067 1.027 3.03  3.03  3.586 0.888 2.345
 2.804 0.307 2.071 3.064 4.258 3.599 4.258 4.258 3.644 3.644 4.258 0.794
 1.264 1.394 0.191 0.026 2.198 0.49  1.807 2.136 3.644 3.644 3.067 2.115
 4.258 3.644 2.751 3.644 2.894 0.869 2.223 4.258 1.9   4.258 1.484 1.455
 2.184 4.562 4.258 3.599 4.258 3.644 3.644 3.644 0.736 4.258 1.028 2.205
 1.453 2.6   0.261 0.771 0.926 1.852 3.425 3.425 0.135 0.566 1.713 0.539
 1.708 1.717 0.043 2.179 0.443 1.96  1.235 1.206 4.176 2.697 1.933 2.035
 1.908 1.449 0.944 1.915 2.16  0.57  1.346 2.785 2.788 1.999 1.466 2.1
 3.315 0.495 1.075 1.266 1.205 3.909 1.962 2.471 0.57  0.282 3.599 2.641
 1.949 0.328 1.391 2.731 1.861 1.353 2.1   0.231 1.496 0.129 0.049 0.799
 0.457 3.644 0.894 2.021 2.894 4.562 3.057 3.599]","[1.    1.    1.    0.998 1.    1.    1.    1.    1.    1.    1.    1.
 1.    0.999 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    0.998 0.98  0.979 0.999 0.999 1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.999 1.    1.    1.    1.    1.    0.997 0.998 1.    1.
 1.    1.    0.997 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.999 1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.993 0.991 0.952 0.945 0.978
 0.989 1.    1.    1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
8,67453985,67454113,+,"[ 0.528  0.912  0.022  0.166  0.169  0.26   0.349 -0.187  3.042  1.735
  0.032  0.228  1.017  0.733  0.35   0.356  0.701  0.697  2.395  1.612
  0.336  0.045  0.631 -0.097  0.68   0.34   2.616  1.162  1.861  1.057
 -1.652  0.354  1.223  0.517  1.074  0.989  1.849  3.261  1.873  1.008
  0.649  0.301 -0.245  1.163  2.254  0.718  3.806  1.194  0.091  2.39
  0.056  0.006  1.167  1.635  1.197  0.699  2.641  3.806  1.195  0.638
  0.325  2.254  2.298 -1.868  0.889  0.201 -0.472  0.658 -0.142  2.391
  0.538  0.623  0.094  2.412  0.379  0.523  1.094  1.041 -0.304  0.552
  1.284  0.179  1.405 -0.693  1.03  -0.718  2.136  1.067  1.029  1.602
  0.15   0.292 -0.178  1.307 -0.337  1.724  0.261  1.722 -0.092 -0.408
 -0.566  0.566  0.079  0.587  1.688  1.069  1.014  0.882  0.019  0.683
 -1.415  0.508  0.671  1.917  0.341  0.904  0.464 -0.069  0.297  0.354
  3.261  3.261  0.749  0.333 -0.303  1.916  0.282 -0.419]","[0.914 0.79  0.279 0.228 0.211 0.209 0.219 0.242 0.926 0.934 0.906 0.907
 0.936 0.966 0.967 0.97  0.988 0.995 0.998 0.985 0.692 0.581 0.585 0.578
 0.712 0.816 0.971 0.968 0.95  0.687 0.018 0.394 0.904 0.955 0.992 0.997
 1.    1.    1.    0.977 0.921 0.854 0.826 0.965 0.998 1.    1.    0.996
 0.982 0.98  0.908 0.91  0.989 0.999 1.    1.    1.    1.    1.    1.
 0.998 0.998 0.991 0.    0.001 0.    0.    0.006 0.014 0.462 0.475 0.498
 0.506 0.589 0.541 0.483 0.469 0.352 0.063 0.061 0.059 0.038 0.034 0.003
 0.009 0.007 0.369 0.386 0.384 0.367 0.2   0.141 0.095 0.103 0.085 0.122
 0.111 0.11  0.004 0.    0.    0.014 0.035 0.846 0.936 0.936 0.913 0.781
 0.236 0.114 0.015 0.251 0.436 0.548 0.479 0.478 0.394 0.393 0.514 0.715
 0.981 0.982 0.848 0.477 0.334 0.369 0.022 0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
8,116516718,116516846,+,"[ 0.772  1.044  0.864  0.604  0.98   2.245  2.857  2.384  2.037  0.148
  1.193  2.338  1.601  0.067  0.185  1.087  1.616  0.779  1.271  3.241
  2.336  1.309  0.697  2.094  4.43   2.127  1.454  1.508  2.267  2.035
  1.718  2.996  2.864  1.628  1.854  3.961  4.712  4.652  3.94   3.199
  0.268  1.674  2.499  2.308  1.404 -0.242  1.554  0.401  0.077  0.782
  0.84  -0.856  2.127  2.537 -0.189  1.141  1.202  1.061  1.027  2.113
  0.693  1.997  0.781  3.153  2.265  0.752  2.255  0.357  2.683  4.05
  1.58   2.392  2.345  1.159  1.624  2.627  3.115  1.564  3.166  2.789
  5.415  3.204  3.073 -0.356  2.153  1.912  2.398  4.803  2.383  1.468
  4.002  5.632  4.063  3.086  3.247  2.952  5.632  4.803  3.291  4.803
  1.494  3.192  4.742  3.939  3.303  4.803  3.268  2.346  4.742  4.057
  4.803  5.632  3.297  4.38   3.319  4.803  4.803  4.803  1.194  4.051
  1.702  3.298  1.657  2.625  1.747  2.377  0.093  1.528]","[0.876 0.186 0.441 0.449 0.771 0.992 1.    1.    1.    0.994 1.    1.
 0.997 0.919 0.918 0.976 0.999 1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.989 1.    1.    1.    0.939 0.175 0.19  0.179
 0.181 0.293 0.518 0.637 0.98  0.99  0.936 0.99  0.999 1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.998 1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.908
 0.996 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.997 1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
6,50826848,50826976,+,"[3.172 3.485 1.932 3.525 3.617 2.546 2.051 3.102 5.069 5.799 3.955 5.799
 5.721 4.872 5.721 4.185 4.153 5.799 4.051 6.747 6.747 3.015 4.192 6.385
 6.747 6.747 7.23  3.867 6.747 3.443 4.19  2.297 5.799 6.385 5.359 5.799
 6.747 6.747 5.799 5.799 6.747 1.953 5.282 6.747 5.495 5.799 4.037 3.16
 3.907 2.89  5.38  4.19  4.198 4.186 4.19  5.256 3.922 5.505 2.963 3.032
 0.988 1.22  0.649 4.887 4.178 4.126 5.831 4.153 5.433 6.889 5.433 3.665
 2.971 4.758 1.933 4.794 3.885 4.231 5.752 5.752 4.224 6.786 5.111 5.831
 4.224 6.786 6.786 6.786 5.831 5.752 5.831 5.831 5.831 6.786 5.752 5.398
 5.082 1.873 4.146 5.752 5.831 5.752 2.452 4.069 4.08  7.272 5.831 7.272
 5.078 5.752 3.734 6.786 5.831 5.831 6.786 4.935 5.115 4.178 7.272 4.153
 4.15  5.101 3.956 5.752 5.092 5.831 7.272 5.752]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1.]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
17,3862055,3862183,+,"[-2.080e-01 -2.090e-01 -3.270e-01 -4.800e-02 -2.000e-01  2.419e+00
 -4.430e-01 -5.900e-02  2.067e+00  2.790e+00  1.018e+00  3.250e-01
  8.810e-01  2.271e+00  1.832e+00  2.128e+00  4.706e+00  2.282e+00
  1.401e+00  3.086e+00  8.400e-01  2.585e+00  5.270e-01  2.970e-01
  1.904e+00 -6.660e-01  1.080e-01  3.110e-01  9.230e-01  2.636e+00
  1.128e+00 -1.370e-01 -5.180e-01  2.857e+00  1.820e-01  1.802e+00
 -4.000e-03 -1.916e+00  4.384e+00  2.038e+00  1.290e-01  9.940e-01
 -3.400e-02  3.088e+00  2.230e+00  2.027e+00  2.212e+00  3.770e-01
 -1.150e-01 -6.730e-01  8.600e-02 -1.480e-01  3.275e+00  4.150e-01
  1.052e+00  9.150e-01  1.067e+00 -2.480e-01  1.360e-01  7.040e-01
  2.640e-01  1.603e+00  9.990e-01  8.400e-02  3.251e+00  1.936e+00
  4.102e+00  1.985e+00  2.243e+00 -1.534e+00  1.496e+00  5.370e-01
  5.390e-01  3.775e+00  1.407e+00  1.763e+00  1.972e+00  1.730e-01
 -1.305e+00  9.350e-01  3.700e-01  3.200e-01  1.268e+00  1.904e+00
 -1.532e+00  1.814e+00  7.160e-01  1.750e-01  3.940e-01  1.941e+00
  8.980e-01  3.725e+00  8.910e-01 -1.450e-01  9.420e-01 -2.000e-01
  1.405e+00  9.390e-01  1.263e+00  5.850e-01  8.440e-01  1.010e+00
 -1.970e-01  1.067e+00  2.626e+00  8.750e-01  4.342e+00  4.638e+00
  2.068e+00  1.380e-01  2.102e+00  1.520e-01 -1.010e-01  1.968e+00
  1.881e+00  1.889e+00  7.660e-01  1.542e+00  1.327e+00  1.022e+00
  1.220e-01  1.067e+00  1.845e+00  1.501e+00  6.500e-01  1.618e+00
  1.506e+00  4.690e-01]","[0.    0.    0.    0.    0.003 0.122 0.002 0.048 0.983 1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.998 0.958 0.932
 0.926 0.008 0.055 0.298 0.817 0.935 0.922 0.039 0.036 0.96  0.963 0.986
 0.031 0.002 0.995 0.996 0.968 0.97  0.962 1.    1.    1.    0.992 0.295
 0.012 0.    0.001 0.006 0.658 0.63  0.612 0.556 0.436 0.061 0.061 0.125
 0.154 0.891 0.906 0.909 0.998 1.    1.    0.998 0.966 0.214 0.764 0.788
 0.827 1.    1.    1.    0.906 0.08  0.001 0.045 0.053 0.089 0.176 0.179
 0.005 0.66  0.663 0.664 0.795 0.994 0.997 1.    1.    0.062 0.111 0.141
 0.827 0.973 0.98  0.976 0.975 0.971 0.949 0.993 1.    1.    1.    1.
 1.    0.991 0.992 0.937 0.93  0.999 1.    1.    1.    1.    1.    1.
 0.996 1.    1.    1.    0.997 0.995 0.961 0.324]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
2,30404563,30404691,+,"[ 0.091  2.509  3.763  2.787  0.79   1.534  1.51   1.593  0.49   1.9
  5.332  0.824  2.736  2.573  0.759  1.855  2.467  2.785  2.798  0.467
  1.86   2.715  4.192  1.805  3.763  2.48   0.432  0.939  0.847  2.786
  0.675  4.246  2.745  2.793  4.246  5.332  5.332  4.972  1.913  0.061
  0.882 -0.25  -0.376  0.312  0.347  1.983  1.321  0.297  1.894  4.163
  2.792  2.785  1.952  4.192  4.192  4.972  1.313  0.449  1.835  0.514
  0.653  0.742  1.214  3.311  1.018  0.351  0.398  3.315  0.679  1.998
  0.184  1.224  0.817  0.024  2.295  0.483  1.112  1.1    1.785  4.896
  4.896  5.25   0.44   1.788  1.346  0.24   0.683  1.945  1.308  3.332
  4.896  0.749  0.385  0.737  0.758  0.582  1.246  0.296 -0.268  0.847
  2.731  0.761  0.017  1.092  1.829  0.762  3.373  2.166  1.135  2.366
  4.548  0.233 -0.341  0.863  2.077 -0.289  0.049  1.385  0.612  0.446
 -0.268  0.008  0.177 -0.267  0.134  0.625 -0.283  2.064]","[0.028 0.994 1.    1.    1.    1.    1.    1.    0.999 1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.999 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.945 0.075 0.037 0.001 0.002 0.149 0.378 0.938 0.972 0.974
 0.999 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.998
 0.998 0.999 1.    1.    1.    0.997 0.998 1.    1.    1.    0.992 0.993
 0.985 0.978 0.997 0.997 0.998 0.997 1.    1.    1.    1.    1.    1.
 1.    0.998 0.998 1.    1.    1.    1.    0.995 0.98  0.968 0.935 0.837
 0.731 0.259 0.222 0.543 0.879 0.872 0.861 0.928 0.96  0.959 1.    1.
 1.    1.    1.    0.218 0.075 0.247 0.253 0.005 0.005 0.036 0.034 0.004
 0.    0.    0.    0.    0.002 0.02  0.036 0.985]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
